Longitud,Latitud,Grupo
-102.2660467,22.40372129,1.1
-102.2648853,22.40019675,1.1
-102.2502994,22.38722171,1.1
-102.2520527,22.37435349,1.1
-102.2281325,22.37468091,1.1
-102.2233307,22.3713364,1.1
-102.2119868,22.37269732,1.1
-102.2119792,22.36246518,1.1
-102.1773753,22.36242974,1.1
-102.1807221,22.35039794,1.1
-102.1498475,22.34717506,1.1
-102.1532305,22.29041022,1.1
-102.1065838,22.28536546,1.1
-102.1052499,22.28079283,1.1
-102.0910649,22.29089118,1.1
-102.0895714,22.28899886,1.1
-102.0756271,22.30607278,1.1
-102.0628981,22.30174903,1.1
-102.062345,22.30157344,1.1
-102.0608593,22.30120234,1.1
-102.0586102,22.30064055,1.1
-102.0584078,22.29365486,1.1
-102.0512136,22.29121303,1.1
-102.0434833,22.29392215,1.1
-102.0423367,22.29701385,1.1
-102.0384653,22.29854755,1.1
-102.0372697,22.29897568,1.1
-102.0365624,22.29762697,1.1
-102.0360617,22.29677431,1.1
-102.0341441,22.29336972,1.1
-102.0317899,22.28889955,1.1
-102.0298963,22.28851425,1.1
-102.0299803,22.28559942,1.1
-102.02999,22.28549066,1.1
-102.0298272,22.28495145,1.1
-102.0287893,22.2747098,1.1
-102.0275094,22.26414482,1.1
-102.0252954,22.25641154,1.1
-102.0247361,22.25363658,1.1
-102.0247228,22.25350895,1.1
-102.0247173,22.25345603,1.1
-102.0237473,22.2506266,1.1
-102.0232223,22.24842882,1.1
-102.0225015,22.24632443,1.1
-102.0224821,22.2462692,1.1
-102.0222123,22.24546348,1.1
-102.0221933,22.24537408,1.1
-102.0219613,22.24427785,1.1
-102.0219611,22.24427692,1.1
-102.0224858,22.24163723,1.1
-102.0224946,22.24158549,1.1
-102.0070184,22.24146486,1.1
-102.0040929,22.24146561,1.1
-102.0024746,22.24144406,1.1
-102.0011506,22.23770611,1.1
-102.0008564,22.23687562,1.1
-101.9997161,22.23365603,1.1
-102.0009931,22.16811055,1.1
-102.0238356,22.16855626,1.1
-102.0283861,22.16864464,1.1
-102.0283872,22.16864466,1.1
-102.0310541,22.16708761,1.1
-102.0310555,22.16708621,1.1
-102.0443217,22.15344471,1.1
-102.0170755,22.15396128,1.1
-102.0259152,22.129771,1.1
-102.0081652,22.12375217,1.1
-101.986028,22.12082745,1.1
-101.9818563,22.11854497,1.1
-101.9816896,22.11846338,1.1
-101.9816402,22.11843919,1.1
-101.9746529,22.11501625,1.1
-101.9510001,22.09981778,1.1
-101.9397813,22.09265163,1.1
-101.938886,22.09206589,1.1
-101.9386434,22.09190412,1.1
-101.9386173,22.09188672,1.1
-101.9380984,22.09154077,1.1
-101.9379696,22.09145524,1.1
-101.8869639,22.05801089,1.1
-101.8717711,22.04729141,1.1
-101.8714831,22.04707822,1.1
-101.8671724,22.04411395,1.1
-101.8671713,22.04411302,1.1
-101.8656887,22.04275819,1.1
-101.8622934,22.04673655,1.1
-101.8558604,22.04554583,1.1
-101.8579284,22.03911849,1.1
-101.8602295,22.0348558,1.1
-101.8602274,22.0348558,1.1
-101.8601126,22.0348977,1.1
-101.8591558,22.03441695,1.1
-101.8599804,22.03376323,1.1
-101.8599808,22.03376335,1.1
-101.859982,22.03376367,1.1
-101.8605321,22.03321914,1.1
-101.8605209,22.03319588,1.1
-101.8610966,22.03083562,1.1
-101.8612554,22.03015036,1.1
-101.8616695,22.02888418,1.1
-101.8616708,22.02888285,1.1
-101.8616713,22.02888234,1.1
-101.8617417,22.0288096,1.1
-101.8609625,22.02381543,1.1
-101.8597425,22.02170586,1.1
-101.8583284,22.02089822,1.1
-101.8612739,22.01858315,1.1
-101.8603866,22.01738194,1.1
-101.8605499,22.01700983,1.1
-101.8606571,22.01686992,1.1
-101.8613083,22.01468642,1.1
-101.8611923,22.01458643,1.1
-101.8610737,22.01277972,1.1
-101.8607773,22.00716217,1.1
-101.8619312,22.00566888,1.1
-101.8618587,22.00426314,1.1
-101.8610381,21.99874571,1.1
-101.8619235,21.99722438,1.1
-101.8621296,21.99559251,1.1
-101.8624298,21.99520337,1.1
-101.8635984,21.9914394,1.1
-101.8647305,21.98997023,1.1
-101.8682234,21.98833602,1.1
-101.8690769,21.98792386,1.1
-101.871078,21.98699403,1.1
-101.8761338,21.98446844,1.1
-101.8770715,21.9839658,1.1
-101.877761,21.98359622,1.1
-101.8777618,21.98359578,1.1
-101.8786678,21.98311015,1.1
-101.8786686,21.98310972,1.1
-101.8786708,21.98310854,1.1
-101.8797469,21.98253169,1.1
-101.8912525,21.97659205,1.1
-101.8933403,21.98233568,1.1
-101.8947341,21.98965642,1.1
-101.8976811,21.99025318,1.1
-101.9115493,21.99450785,1.1
-101.9094457,21.98902403,1.1
-101.9037203,21.98582631,1.1
-101.8986577,21.98411198,1.1
-101.8975249,21.97724605,1.1
-101.8969054,21.97120635,1.1
-101.8963165,21.96960572,1.1
-101.8962701,21.96909288,1.1
-101.8958312,21.9633322,1.1
-101.8961546,21.96283905,1.1
-101.8964166,21.96144169,1.1
-101.8977802,21.95838791,1.1
-101.8903746,21.95095015,1.1
-101.8838508,21.93935514,1.1
-101.8781226,21.94429889,1.1
-101.872281,21.94650325,1.1
-101.8682139,21.9455604,1.1
-101.8665224,21.94555812,1.1
-101.8653056,21.9475108,1.1
-101.8578241,21.94407402,1.1
-101.8567551,21.94358488,1.1
-101.8486555,21.94406652,1.1
-101.8451896,21.94402352,1.1
-101.8352895,21.94177058,1.1
-101.8359952,21.93281988,1.1
-101.8380034,21.90734437,1.1
-101.8802126,21.91014978,1.1
-101.9012966,21.9030144,1.1
-101.9412431,21.88948637,1.1
-101.9716817,21.87911148,1.1
-101.9767244,21.87738034,1.1
-102.019954,21.86253611,1.1
-102.0207944,21.85116763,1.1
-102.0381649,21.85316895,1.1
-102.0382791,21.84919591,1.1
-102.0385343,21.83907385,1.1
-102.0410779,21.83582735,1.1
-102.0417429,21.82306765,1.1
-102.0495958,21.81978282,1.1
-102.0549408,21.81590211,1.1
-102.0568237,21.80647182,1.1
-102.0579798,21.80187009,1.1
-102.0637212,21.79773582,1.1
-102.0680414,21.78971611,1.1
-102.0689613,21.78805962,1.1
-102.0719632,21.78265489,1.1
-102.0830742,21.78706689,1.1
-102.0945705,21.77770165,1.1
-102.0886958,21.76712769,1.1
-102.1015628,21.76157697,1.1
-102.1020761,21.75526749,1.1
-102.1093431,21.74943726,1.1
-102.1162128,21.73652622,1.1
-102.1208931,21.73644657,1.1
-102.1255293,21.72581582,1.1
-102.1363461,21.72049337,1.1
-102.1420997,21.70537429,1.1
-102.1473079,21.70577625,1.1
-102.1548574,21.70003817,1.1
-102.1665953,21.70249548,1.1
-102.1714328,21.70700098,1.1
-102.1778859,21.68815531,1.1
-102.2142668,21.69481886,1.1
-102.2142317,21.68660362,1.1
-102.2269971,21.65680968,1.1
-102.2376175,21.65200137,1.1
-102.2509161,21.65514405,1.1
-102.2752191,21.65397372,1.1
-102.2794415,21.66443732,1.1
-102.3039903,21.66668472,1.1
-102.3026486,21.65460028,1.1
-102.2953708,21.65309872,1.1
-102.3101657,21.62662603,1.1
-102.3210508,21.63009228,1.1
-102.3257221,21.62226648,1.1
-102.340184,21.62878294,1.1
-102.3668736,21.64275192,1.1
-102.3695262,21.65059191,1.1
-102.3869441,21.65378269,1.1
-102.4074931,21.65948488,1.1
-102.404595,21.6655932,1.1
-102.4133703,21.6668086,1.1
-102.4250065,21.671755,1.1
-102.441455,21.67341917,1.1
-102.4492514,21.68119762,1.1
-102.4524532,21.67838371,1.1
-102.4610664,21.67925909,1.1
-102.4522197,21.68745229,1.1
-102.4568638,21.69808754,1.1
-102.4683619,21.69790312,1.1
-102.4757566,21.69494515,1.1
-102.4765218,21.70208495,1.1
-102.4842857,21.70499174,1.1
-102.5424524,21.73260437,1.1
-102.5552075,21.74357389,1.1
-102.567421,21.74459171,1.1
-102.5735945,21.74250629,1.1
-102.5962787,21.74404963,1.1
-102.5967743,21.754982,1.1
-102.6048625,21.75103571,1.1
-102.6181233,21.75565178,1.1
-102.6334938,21.76733946,1.1
-102.6435391,21.76188449,1.1
-102.6509233,21.76542222,1.1
-102.6595756,21.76238372,1.1
-102.6659176,21.76473165,1.1
-102.6712702,21.76254905,1.1
-102.6787676,21.75317374,1.1
-102.6906686,21.7524372,1.1
-102.6954503,21.74338462,1.1
-102.6973638,21.73860523,1.1
-102.6962633,21.72876802,1.1
-102.7140248,21.73009778,1.1
-102.7227986,21.71911162,1.1
-102.7352225,21.71567078,1.1
-102.7452999,21.72005231,1.1
-102.7779154,21.74213462,1.1
-102.7794564,21.74324826,1.1
-102.7928678,21.75519637,1.1
-102.7983073,21.75891269,1.1
-102.8059911,21.76396569,1.1
-102.8143895,21.76540083,1.1
-102.8147219,21.76549248,1.1
-102.8150144,21.76557112,1.1
-102.8150435,21.76590094,1.1
-102.8155618,21.76605737,1.1
-102.8213399,21.77590785,1.1
-102.8200951,21.77845682,1.1
-102.8271954,21.78707302,1.1
-102.8324104,21.79789998,1.1
-102.8393091,21.79686549,1.1
-102.8420912,21.80402923,1.1
-102.8422498,21.80475484,1.1
-102.8422499,21.80475487,1.1
-102.8422507,21.80475696,1.1
-102.8422508,21.80475714,1.1
-102.8454908,21.80030195,1.1
-102.8533451,21.79905315,1.1
-102.8472559,21.82239262,1.1
-102.8473148,21.83340922,1.1
-102.858051,21.83322635,1.1
-102.8645696,21.84352691,1.1
-102.8709233,21.84615057,1.1
-102.8728254,21.85642862,1.1
-102.8633801,21.86376578,1.1
-102.8605461,21.88025969,1.1
-102.8556021,21.88450917,1.1
-102.8496453,21.90556582,1.1
-102.8460947,21.9137392,1.1
-102.8435319,21.92640855,1.1
-102.8372898,21.94061771,1.1
-102.8327536,21.9425806,1.1
-102.8216125,21.95879972,1.1
-102.8207308,21.96424474,1.1
-102.8054616,21.9963004,1.1
-102.7914986,22.01598835,1.1
-102.7840433,22.01685457,1.1
