Entidad,delitos,cifra_negra,anio,zona
Aguascalientes,296392,276549,2020,Centronorte
Baja California,744767,668607,2020,Noroeste
Baja California Sur,132805,120662,2020,Noroeste
Campeche,167140,152942,2020,Sureste
Coahuila de Zaragoza,591744,548571,2020,Noreste
Colima,143329,129954,2020,Oeste
Chiapas,559315,521543,2020,Suroeste
Chihuahua,674317,625799,2020,Noroeste
Ciudad de México,3917649,3627738,2020,Centrosur
Durango,292819,270465,2020,Noroeste
Guanajuato,1248942,1149523,2020,Centronorte
Guerrero,726918,707247,2020,Suroeste
Hidalgo,509575,477405,2020,Oriente
Jalisco,1956967,1817779,2020,Oeste
Estado de México,4958809,4634972,2020,Centrosur
Michoacán de Ocampo,712787,667084,2020,Oeste
Morelos,523541,489234,2020,Centrosur
Nayarit,187387,176103,2020,Oeste
Nuevo León,1290138,1187236,2020,Noreste
Oaxaca,626893,577659,2020,Suroeste
Puebla,1447936,1371096,2020,Oriente
Querétaro,528123,489129,2020,Centronorte
Quintana Roo,453322,429761,2020,Sureste
San Luis Potosí,647598,611985,2020,Centronorte
Sinaloa,479589,458623,2020,Noroeste
Sonora,709816,673778,2020,Noroeste
Tabasco,601475,563486,2020,Sureste
Tamaulipas,514417,483058,2020,Noreste
Tlaxcala,258026,243418,2020,Oriente
Veracruz de Ignacio de la Llave,1085778,1013623,2020,Oriente
Yucatán,360050,338755,2020,Sureste
Zacatecas,236706,224953,2020,Centronorte
Aguascalientes,454200,412630,2019,Centronorte
Baja California,949877,866902,2019,Noroeste
Baja California Sur,119011,106291,2019,Noroeste
Campeche,127331,115865,2019,Sureste
Coahuila de Zaragoza,478565,443374,2019,Noreste
Colima,165113,139547,2019,Oeste
Chiapas,494712,446457,2019,Suroeste
Chihuahua,632705,554826,2019,Noroeste
Ciudad de México,4303429,4046351,2019,Centrosur
Durango,270315,251185,2019,Noroeste
Guanajuato,2115881,1909273,2019,Centronorte
Guerrero,747236,718120,2019,Suroeste
Hidalgo,438922,396903,2019,Oriente
Jalisco,2024666,1847392,2019,Oeste
Estado de México,6375280,5903511,2019,Centrosur
Michoacán de Ocampo,662046,629227,2019,Oeste
Morelos,597310,556543,2019,Centrosur
Nayarit,173006,155742,2019,Oeste
Nuevo León,1129286,1049266,2019,Noreste
Oaxaca,618806,589096,2019,Suroeste
Puebla,1481181,1352979,2019,Oriente
Querétaro,549751,493888,2019,Centronorte
Quintana Roo,455123,414579,2019,Sureste
San Luis Potosí,595839,557739,2019,Centronorte
Sinaloa,570452,539311,2019,Noroeste
Sonora,571832,526732,2019,Noroeste
Tabasco,545198,491695,2019,Sureste
Tamaulipas,589027,553846,2019,Noreste
Tlaxcala,285740,267359,2019,Oriente
Veracruz de Ignacio de la Llave,1160920,1084369,2019,Oriente
Yucatán,286126,264825,2019,Sureste
Zacatecas,249003,230731,2019,Centronorte
Aguascalientes,328545,295614,2018,Centronorte
Baja California,1099010,983765,2018,Noroeste
Baja California Sur,169883,148360,2018,Noroeste
Campeche,176488,155972,2018,Sureste
Coahuila de Zaragoza,526195,486072,2018,Noreste
Colima,155845,143202,2018,Oeste
Chiapas,654363,599012,2018,Suroeste
Chihuahua,760856,693692,2018,Noroeste
Ciudad de México,4830779,4542586,2018,Centrosur
Durango,278346,253568,2018,Noroeste
Guanajuato,1542707,1461847,2018,Centronorte
Guerrero,1029540,1008806,2018,Suroeste
Hidalgo,531769,487396,2018,Oriente
Jalisco,2282922,2094593,2018,Oeste
Estado de México,6564371,6142808,2018,Centrosur
Michoacán de Ocampo,735690,682797,2018,Oeste
Morelos,643917,604732,2018,Centrosur
Nayarit,210995,193253,2018,Oeste
Nuevo León,1073449,983793,2018,Noreste
Oaxaca,713603,679635,2018,Suroeste
Puebla,1635590,1497463,2018,Oriente
Querétaro,481378,441728,2018,Centronorte
Quintana Roo,403914,368581,2018,Sureste
San Luis Potosí,627503,594001,2018,Centronorte
Sinaloa,625136,601954,2018,Noroeste
Sonora,1094860,1017518,2018,Noroeste
Tabasco,608693,565798,2018,Sureste
Tamaulipas,656256,617475,2018,Noreste
Tlaxcala,365889,345163,2018,Oriente
Veracruz de Ignacio de la Llave,1459220,1394561,2018,Oriente
Yucatán,422091,390552,2018,Sureste
