"entidad","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
1,5019,71601,43266,31638,33220,11504,15968,19701,63281,34239,17439,675,49569,1147,1568
2,44562,175763,113587,130360,143902,146573,57748,59151,309869,116159,34826,1307,20631,6187,4691
3,4886,29819,13418,24361,10127,11430,16049,15510,30060,15643,5832,159,1634,1147,1339
4,571,16600,9279,32043,29625,9758,7841,18328,19767,42765,4219,NA,2659,NA,NA
5,8364,65707,66919,40103,63736,26384,33726,38293,142639,57970,23292,873,9341,NA,3759
6,2744,18537,11051,19648,10471,5952,13538,12148,47111,14093,4288,194,2946,679,658
7,3112,36768,53702,68124,135172,100204,31395,42268,123767,67755,28975,355,16892,65,NA
8,14103,99988,69985,68568,95451,63878,36872,50312,301843,84997,35607,2564,27683,3310,3831
9,54446,359032,295702,87612,1525076,66005,288530,126699,584971,160965,97589,4183,79542,2352,8876
10,4130,35457,40169,25071,34469,9176,11458,22441,72563,39512,10383,1035,7703,750,280
11,11720,186172,117443,134723,337888,29274,78756,70057,262068,111824,24742,1856,34783,NA,4134
12,7746,31125,39679,42454,175819,71375,108974,39553,460554,91894,37792,NA,11824,1322,2625
13,8501,58982,42381,30140,83728,17929,20237,30028,131719,53077,18523,396,6862,1251,549
14,48529,298137,303973,141488,291250,76339,194914,110275,725145,194694,91680,860,126420,6006,5550
15,140288,502330,501340,275180,3142406,143021,717258,268871,1568223,341635,209661,25846,136517,3940,17066
16,16046,85876,87587,76775,90510,34353,46078,40116,285577,67940,21978,3134,34052,7117,4376
17,6181,40416,64648,38212,152985,18436,38015,35051,166054,60551,18866,821,15683,3184,964
18,1866,22985,18803,25869,10564,7453,15599,25708,82124,21313,5806,1035,1657,938,873
19,12107,169447,97722,80719,271730,66713,74481,98369,252806,88482,22490,5095,34000,4658,8721
20,1941,30232,63749,42947,166089,64847,35226,51121,215949,90236,24187,NA,19117,NA,4535
21,12353,137247,177045,89068,358780,25154,69651,91564,324303,98315,33201,1700,56139,NA,3021
22,8735,58046,69603,28612,44191,17989,38563,28721,87304,27643,10123,356,17585,978,4519
23,3674,30669,28743,50826,66197,25076,36198,30059,75107,25191,10417,128,6650,8130,1444
24,5129,59700,63720,29217,76615,22625,17587,38283,141312,55460,18269,3857,12523,NA,NA
25,8730,41225,38533,46312,86842,56109,29918,27649,102012,50055,17897,4524,9426,2751,3039
26,17362,163898,90200,105284,74810,196970,58266,50392,105696,62747,22918,NA,4937,889,2528
27,6648,32397,21602,57011,181326,58025,17258,28580,66740,39306,16005,3864,5799,1156,886
28,12439,51313,28504,59986,116198,22815,36980,19120,169574,54717,8517,6641,12014,616,4102
29,3566,15927,28355,19149,34622,5209,17669,13009,70445,37348,10838,1292,10025,317,555
30,14063,49438,73438,98795,152185,106517,84705,65245,338302,118383,41685,6066,27966,1232,10799
31,190,20532,38374,31648,33719,55019,25023,29466,75377,51811,22765,NA,11113,NA,1543
32,3772,33444,22391,12651,19226,4693,14740,8262,100615,30436,17641,1048,3871,872,1013
